Component,LogWelfareChange,EquivalentPct
commuting,0.00795857941083139,0.799033308610175
productivity_wage,0.00167931969983071,0.168073054680162
amenity,8.85797812404241e-05,0.00885837045450089
combined,0.00972647889190252,0.977393482263245
